formation period,PNL,Win rate,Sharpe ratio,Sortino ratio,MDD,# of win trades,# of loss trades
100,-1208.0877269952994,78.45413363533409,-1.479860654065871,-1.4580963547486332,-2105.7750690836037,2774,758
105,882.5404502645831,78.59573151871328,-0.30781547616704286,-0.44785680316604176,-2440.8050582542305,2544,689
110,1957.1945190517067,79.42345924453281,-0.5755089509415559,-0.6288812493716956,-2499.1462374553494,2403,615
115,4002.1667874515542,79.83223924142962,0.0697419331642723,0.0790085719398042,-2478.1665309755826,2196,546
120,3439.8493621549874,79.26780740151213,0.26750568555008397,0.2580620553447545,-2520.1001706825,1998,515
125,1943.685691160598,77.60995113282986,0.4698526257075521,0.4531719370317576,-2474.699243952809,1752,499
130,-1534.777779065997,76.15830115830116,-0.37477218888317293,-0.3185020161875119,-2736.7102621319214,1579,493
135,453.810854143194,77.25388601036269,1.6677373875931762,1.4438786220334001,-1976.6627228111947,1492,438
140,-520.5884603474932,75.99771949828963,0.622409860597684,0.5611876651623019,-1468.0202669669711,1333,421
145,-1546.6542864271264,73.46813725490196,0.5173714451802195,0.46525925267636054,-1590.6654039240893,1199,433
150,-2787.000815435519,71.37150466045273,-0.7231584239946856,-0.5250524418975714,-1532.029224968316,1072,430
155,-822.332437538494,73.19587628865979,-1.1053474461503823,-0.9017862663435421,-1259.4031121807925,994,364
160,-283.6221367413297,74.10491257285595,-1.1618275775207005,-0.7850878240456137,-1241.5920937157107,890,311
165,-381.27026283761967,74.90671641791045,-0.18243594814462613,-0.10503081920079933,-1564.5036353654536,803,269
170,-1226.501587239649,72.60416666666667,-0.962068156270824,-0.5637336865720327,-1874.9023189093664,697,263
175,-287.59009399755496,76.66666666666667,-0.2943675690375777,-0.15610777017461921,-1627.314218012702,644,196
180,106.28955149225317,78.22349570200574,-0.7573816544658314,-0.5063852662777876,-1169.7262700387928,546,152
185,350.2950295090075,79.02439024390245,-0.04516051640803357,-0.03031676652376524,-1239.1039870593527,486,129
190,-385.7871305105057,77.98165137614679,-0.4881213960491513,-0.23458895105298658,-1197.3695374635413,425,120
195,-524.1892569012057,75.87628865979381,-0.7023000800814136,-0.3204049063411651,-1308.4647055825867,368,117
200,-593.2827092470134,76.09756097560975,-1.1310210825810605,-0.498342349606043,-1631.859890032703,312,98
